050	0.02364317
060	0.00891885
070	0.00483043
080	0.00292544
090	0.00152462
100	0.00067515
110	0.00022362
120	0.00007431
130	0.00001265
140	0.00001971
150	-0.00000227
160	0.00003349
170	0.00003747
180	0.00001028
190	0.00004023
200	0.00001273
210	0.00000917
220	0.00001609
230	-0.00000325
240	-0.00000764
250	0.00000012
260	0.00001955
270	-0.00000622
280	0.00004334
290	-0.00001240
300	-0.00000097
310	-0.00001841
320	-0.00001922
330	-0.00001184
340	0.00003081
350	-0.00001162
360	-0.00001186
370	0.00000183
380	-0.00000266
390	0.00000566
400	0.00000132
410	0.00001178
420	-0.00002008
430	-0.00001199
440	0.00001841
450	-0.00001815
460	-0.00000688
470	-0.00000200
480	-0.00000171
490	0.00001666
500	0.00000698
510	0.00001677
520	-0.00000206
530	-0.00002309
540	-0.00001998
550	-0.00001225
560	0.00000490
570	0.00003052
580	-0.00000218
590	-0.00002700
600	0.00000486
