  
   Z,SCF,CCSD,W_SCF,W_CCSD,O_SCF,O_CCSD

   1.3,   -16215.01055,   -16218.33795,   -16140.34116,   -16143.31153,   -74.85920120,   -75.09173839
                                                  
   1.4,   -16215.16929,   -16218.50195
                                                  
   1.5,   -16215.25022,   -16218.58757
                                                  
   1.6,   -16215.28054,   -16218.62299
                                                  
   1.7,   -16215.27868,   -16218.62713
                                                  
   1.8,   -16215.25720,   -16218.61267
                                                  
   1.9,   -16215.22457,   -16218.58795
