050	0.01043326
060	0.00221274
070	0.00096594
080	0.00086621
090	0.00062734
100	0.00033856
110	0.00013030
120	0.00004676
130	0.00002640
140	0.00008966
150	0.00005608
160	0.00003939
170	0.00008422
180	0.00001805
190	0.00003057
200	0.00003773
210	-0.00000535
220	0.00000980
230	0.00001501
240	0.00001247
250	-0.00000957
260	0.00003753
270	-0.00001708
280	0.00002472
290	-0.00001728
300	-0.00000583
310	-0.00000880
320	0.00000710
330	0.00002088
340	-0.00002059
350	0.00003832
360	-0.00001413
370	0.00000390
380	0.00007295
390	0.00005683
400	-0.00000231
410	-0.00002170
420	0.00007102
430	0.00000673
440	0.00003692
450	0.00000447
460	-0.00001367
470	0.00006789
480	0.00002508
490	0.00005762
500	0.00006340
510	-0.00000689
520	-0.00000995
530	0.00005136
540	0.00007975
550	0.00000519
560	0.00001651
570	0.00002603
580	0.00008515
590	0.00006272
600	0.00004270
