                                                  

     Z,SCF,CCSD
   0.000,      0.0000000,      0.0000000
   0.000,      0.0000000,      0.0000000
   0.000,      0.0000000,      0.0000000
   0.000,      0.0000000,      0.0000000
   0.000,      0.0000000,      0.0000000
   0.000,      0.0000000,      0.0000000
   0.000,      0.0000000,      0.0000000
   0.000,      0.0000000,      0.0000000
   0.000,      0.0000000,      0.0000000
   0.000,      0.0000000,      0.0000000
   1.485,   -142.0727134,   -143.1220000
                                                  
